epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1466.88,0.60013,0.45183,0.94389,0.87785,0.694,0.79624,0.6614,0.74179,0.81415,0.97855,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,1512.92,0.57819,0.44326,0.93781,0.91526,0.67962,0.7855,0.64619,0.76566,0.7623,0.98689,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,1560.51,0.56826,0.43314,0.93546,0.74203,0.70352,0.76576,0.62793,0.75692,0.86853,0.99522,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,1607.66,0.57902,0.43343,0.93769,0.75135,0.69782,0.73853,0.60378,0.76367,0.96222,1.00264,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,1651.88,0.56384,0.41732,0.932,0.80009,0.70809,0.76374,0.62125,0.76716,0.96558,0.99169,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,1699.48,0.56564,0.42358,0.92445,0.77223,0.70089,0.79691,0.65931,0.74432,0.87208,0.9871,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,1748.05,0.54542,0.39712,0.92469,0.77343,0.73901,0.79092,0.6573,0.75427,0.77613,0.98661,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,1793.6,0.54913,0.40781,0.93643,0.7823,0.74598,0.80027,0.66362,0.7437,0.80954,0.98388,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,1841.8,0.54377,0.39906,0.93339,0.74284,0.7776,0.79166,0.66369,0.74287,0.87057,0.98026,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,1886.86,0.53826,0.40509,0.93869,0.808,0.70509,0.78341,0.65215,0.7104,0.8597,0.97939,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,1934.35,0.51325,0.37136,0.90894,0.77664,0.75559,0.78857,0.64891,0.75094,0.78612,0.98253,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,1980.3,0.52704,0.38124,0.92014,0.84978,0.69743,0.79309,0.64926,0.74662,0.75576,0.97483,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
