epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1996.02,0.2362,0.37987,0.10487,0.56798,0.55553,0.45641,0.36337,0.24116,0.60809,0.09574,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,2061.36,0.2302,0.37809,0.10306,0.54457,0.54949,0.44186,0.35017,0.23953,0.62587,0.09718,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,2122,0.23093,0.36063,0.09852,0.60488,0.57605,0.46853,0.37978,0.23107,0.62073,0.09536,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,2182.7,0.24698,0.37629,0.10392,0.65313,0.50826,0.46525,0.38472,0.22381,0.62963,0.0938,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,2247.66,0.23106,0.3685,0.10244,0.61932,0.53235,0.47224,0.39122,0.22382,0.64437,0.09359,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,2310.68,0.23768,0.35129,0.09505,0.62551,0.50112,0.47595,0.39575,0.22567,0.65253,0.09235,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,2374.62,0.23191,0.35238,0.10191,0.66165,0.52333,0.47349,0.39134,0.22292,0.65006,0.09262,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,2436.07,0.21727,0.3309,0.0923,0.64765,0.5077,0.46808,0.38912,0.22185,0.65072,0.09303,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,2499.47,0.22945,0.34461,0.10311,0.60763,0.49847,0.47904,0.39456,0.23709,0.6683,0.09486,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,2564.76,0.21359,0.32344,0.09563,0.6831,0.49253,0.45306,0.37671,0.22129,0.68799,0.09173,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,2631.15,0.22542,0.3299,0.09473,0.64226,0.45147,0.43479,0.35266,0.22375,0.65612,0.09153,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,2695.45,0.21163,0.31309,0.09371,0.62425,0.52227,0.46006,0.37872,0.22099,0.64731,0.09387,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,2760.18,0.21696,0.3287,0.09845,0.55576,0.51566,0.4482,0.35962,0.21654,0.65818,0.0909,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,2824.21,0.19198,0.30697,0.08507,0.55993,0.52381,0.46039,0.3689,0.22254,0.65088,0.09251,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,2887.09,0.20576,0.32684,0.09738,0.56658,0.48599,0.44173,0.35533,0.22469,0.68396,0.09149,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
