epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5799,1.05204,3.00109,1.22734,0.51281,0.26587,0.17824,0.13059,1.16277,4.0466,1.30972,0.000327957,0.000327957,0.000327957
2,130.108,1.13462,2.13432,1.23152,0.59833,0.16166,0.13801,0.09229,1.34293,5.11662,1.53181,0.000654744,0.000654744,0.000654744
3,176.51,1.30444,2.15851,1.34767,0.28934,0.21094,0.10613,0.0648,1.72647,5.8173,1.86115,0.00097493,0.00097493,0.00097493
4,224.684,1.30171,2.05641,1.34459,0.31806,0.28179,0.16474,0.12104,1.33022,16.1011,1.51914,0.0009703,0.0009703,0.0009703
5,270.555,1.28373,1.86821,1.33979,0.60653,0.2065,0.24579,0.1757,1.28667,4.78003,1.49307,0.0009604,0.0009604,0.0009604
6,316.368,1.2518,1.89727,1.32066,0.73123,0.23333,0.2815,0.1922,1.20608,3.83908,1.33736,0.0009505,0.0009505,0.0009505
7,363.576,1.24977,1.74597,1.31981,0.61645,0.19056,0.17953,0.11068,1.51611,3.43972,1.57946,0.0009406,0.0009406,0.0009406
8,410.229,1.1935,1.6984,1.27642,0.48284,0.26342,0.26694,0.1875,1.21588,2.63592,1.30881,0.0009307,0.0009307,0.0009307
9,459.588,1.2099,1.6998,1.2759,0.6176,0.31994,0.32657,0.23956,1.18856,2.24348,1.26588,0.0009208,0.0009208,0.0009208
10,506.945,1.11561,1.52767,1.24849,0.52289,0.40606,0.37728,0.24361,1.15271,2.36049,1.29774,0.0009109,0.0009109,0.0009109
11,553.031,1.11392,1.53117,1.24013,0.55668,0.27858,0.35422,0.26505,1.08264,2.18975,1.22527,0.000901,0.000901,0.000901
12,603.713,1.10922,1.51932,1.23878,0.50007,0.38941,0.4094,0.30487,1.10936,1.81304,1.2309,0.0008911,0.0008911,0.0008911
13,653.129,1.13301,1.51795,1.24002,0.57735,0.42661,0.44536,0.33161,1.06745,1.81914,1.18124,0.0008812,0.0008812,0.0008812
14,700.46,1.06951,1.38701,1.22199,0.52099,0.49784,0.49351,0.37795,1.03494,1.48861,1.13402,0.0008713,0.0008713,0.0008713
15,748.054,1.07536,1.39057,1.21002,0.7251,0.45739,0.52114,0.39402,1.00596,1.64098,1.13504,0.0008614,0.0008614,0.0008614
16,794.033,1.00874,1.2571,1.1763,0.79618,0.36617,0.44094,0.30826,1.03646,1.76395,1.17476,0.0008515,0.0008515,0.0008515
17,841.168,1.04637,1.30555,1.17388,0.71939,0.46499,0.50637,0.3945,1.08047,1.4788,1.18123,0.0008416,0.0008416,0.0008416
18,886.813,0.99656,1.14418,1.16712,0.51619,0.46049,0.50019,0.38552,1.02697,1.452,1.15836,0.0008317,0.0008317,0.0008317
19,936.402,1.01542,1.27995,1.15947,0.45755,0.47292,0.44806,0.33874,1.13811,1.56894,1.2056,0.0008218,0.0008218,0.0008218
20,982.196,1.04595,1.20349,1.19039,0.71846,0.44394,0.46791,0.36241,0.99233,1.51031,1.14487,0.0008119,0.0008119,0.0008119
21,1028.02,1.02053,1.216,1.19108,0.63825,0.43235,0.54444,0.41456,1.04897,1.4422,1.1797,0.000802,0.000802,0.000802
22,1075.99,1.01187,1.22945,1.17941,0.64947,0.57988,0.51831,0.40087,1.05408,1.61252,1.16568,0.0007921,0.0007921,0.0007921
23,1121.89,0.99135,1.17199,1.14926,0.59177,0.51279,0.53298,0.40729,1.03748,1.4891,1.17431,0.0007822,0.0007822,0.0007822
24,1167.88,0.9568,1.10125,1.1527,0.61174,0.48777,0.46999,0.35507,1.07868,1.70682,1.17709,0.0007723,0.0007723,0.0007723
25,1213.39,0.9673,1.12864,1.14673,0.79473,0.44116,0.54429,0.41799,0.9713,1.30788,1.13592,0.0007624,0.0007624,0.0007624
26,1261.14,0.91637,1.09034,1.11054,0.52717,0.58276,0.56399,0.43757,0.94377,1.31566,1.09663,0.0007525,0.0007525,0.0007525
27,1306.23,0.94363,1.09983,1.12186,0.54326,0.62359,0.59012,0.45914,1.0136,1.29692,1.15085,0.0007426,0.0007426,0.0007426
28,1350.91,0.9363,1.06143,1.13545,0.60895,0.61224,0.59365,0.44974,0.98076,1.26373,1.10749,0.0007327,0.0007327,0.0007327
29,1397.1,0.93439,1.06646,1.13974,0.77147,0.50875,0.5909,0.43938,0.99398,1.38801,1.12669,0.0007228,0.0007228,0.0007228
30,1441.54,0.94824,1.0686,1.12459,0.69462,0.56281,0.56444,0.42967,0.98775,1.39571,1.13703,0.0007129,0.0007129,0.0007129
31,1486.95,0.93643,1.02705,1.12321,0.66456,0.55932,0.59913,0.47635,0.96199,1.22064,1.14333,0.000703,0.000703,0.000703
32,1529.71,0.89569,1.03098,1.10323,0.70852,0.53045,0.56247,0.43771,0.93855,1.27973,1.12362,0.0006931,0.0006931,0.0006931
33,1578.27,0.91622,0.97924,1.11421,0.74392,0.50773,0.50914,0.3817,1.02006,1.31907,1.18304,0.0006832,0.0006832,0.0006832
34,1623.69,0.90197,0.96252,1.10653,0.76423,0.53912,0.60276,0.46687,1.02258,1.21437,1.16868,0.0006733,0.0006733,0.0006733
35,1669.98,0.89147,0.96945,1.09535,0.58627,0.57051,0.56052,0.43103,0.95701,1.1795,1.10724,0.0006634,0.0006634,0.0006634
36,1717.81,0.87727,0.91611,1.08108,0.63968,0.47704,0.55118,0.44201,0.94936,1.30322,1.11208,0.0006535,0.0006535,0.0006535
37,1761.97,0.91326,0.96252,1.11499,0.63304,0.5669,0.56742,0.4498,0.97008,1.23041,1.13802,0.0006436,0.0006436,0.0006436
38,1806.21,0.85046,0.90619,1.08567,0.52068,0.493,0.5295,0.39602,0.9428,1.30177,1.11693,0.0006337,0.0006337,0.0006337
39,1852.17,0.86086,0.93067,1.09064,0.83666,0.47128,0.48537,0.37151,0.98564,1.46225,1.1244,0.0006238,0.0006238,0.0006238
40,1899.03,0.85111,0.89328,1.06243,0.64418,0.59983,0.62615,0.48903,0.94392,1.17029,1.10459,0.0006139,0.0006139,0.0006139
41,1943.47,0.8701,0.92428,1.08649,0.72482,0.5022,0.6142,0.48308,0.92533,1.18699,1.10138,0.000604,0.000604,0.000604
42,1990.24,0.84999,0.83992,1.06781,0.58082,0.63608,0.59702,0.47047,0.94239,1.17422,1.10162,0.0005941,0.0005941,0.0005941
43,2037.21,0.83646,0.86132,1.06696,0.8166,0.55341,0.61635,0.49721,0.94698,1.1627,1.08768,0.0005842,0.0005842,0.0005842
44,2083.75,0.82233,0.82136,1.05575,0.66034,0.54552,0.55857,0.44613,0.96951,1.27661,1.0888,0.0005743,0.0005743,0.0005743
45,2130.6,0.87852,0.82888,1.08715,0.55971,0.49259,0.54372,0.42821,0.91853,1.25766,1.09857,0.0005644,0.0005644,0.0005644
46,2175.92,0.81731,0.8529,1.06864,0.62981,0.54669,0.58018,0.45027,0.91829,1.19365,1.08261,0.0005545,0.0005545,0.0005545
47,2222.62,0.83572,0.85494,1.06019,0.7167,0.51451,0.53285,0.41865,0.94387,1.26045,1.08724,0.0005446,0.0005446,0.0005446
48,2269.48,0.86178,0.82037,1.0717,0.71359,0.60206,0.66085,0.51934,0.89584,1.16229,1.06025,0.0005347,0.0005347,0.0005347
49,2317.02,0.7935,0.77402,1.04243,0.72802,0.56934,0.63967,0.50676,0.93508,1.09475,1.06886,0.0005248,0.0005248,0.0005248
50,2365.54,0.82022,0.80132,1.06287,0.49948,0.5832,0.60461,0.47629,0.9074,1.10097,1.06883,0.0005149,0.0005149,0.0005149
51,2414.21,0.802,0.77684,1.04753,0.69472,0.62042,0.69765,0.5428,0.88865,1.07177,1.07317,0.000505,0.000505,0.000505
52,2460.92,0.78468,0.76075,1.03906,0.74475,0.5984,0.6578,0.51955,0.89626,1.113,1.06506,0.0004951,0.0004951,0.0004951
53,2509.08,0.80135,0.77396,1.05719,0.73081,0.59915,0.63746,0.51345,0.90071,1.09945,1.07668,0.0004852,0.0004852,0.0004852
54,2555.65,0.77099,0.73223,1.03196,0.55646,0.61453,0.59568,0.48488,0.89492,1.17139,1.07049,0.0004753,0.0004753,0.0004753
55,2603.46,0.77985,0.79123,1.04417,0.66271,0.65336,0.67437,0.52987,0.92732,1.01509,1.08419,0.0004654,0.0004654,0.0004654
56,2650.52,0.7665,0.7955,1.04198,0.69834,0.66811,0.71939,0.57214,0.84888,1.09349,1.03499,0.0004555,0.0004555,0.0004555
57,2696.69,0.75277,0.75785,1.03735,0.6925,0.68416,0.70928,0.55565,0.85469,1.03949,1.03527,0.0004456,0.0004456,0.0004456
58,2743.43,0.72215,0.70665,1.00942,0.60676,0.71377,0.66518,0.52754,0.93702,1.08519,1.09056,0.0004357,0.0004357,0.0004357
59,2789.13,0.75053,0.67354,1.03278,0.71123,0.63079,0.62299,0.4974,0.95525,1.16867,1.07367,0.0004258,0.0004258,0.0004258
60,2834.61,0.72619,0.66994,1.00974,0.67181,0.62114,0.63934,0.51219,0.86842,1.18479,1.05806,0.0004159,0.0004159,0.0004159
61,2881.83,0.75728,0.662,1.02597,0.72319,0.59963,0.63258,0.50489,0.86393,1.11952,1.05546,0.000406,0.000406,0.000406
62,2926.52,0.75825,0.68302,1.04083,0.69982,0.62136,0.63664,0.49893,0.8852,1.12122,1.0824,0.0003961,0.0003961,0.0003961
63,2973.24,0.74672,0.67993,1.01894,0.78084,0.46816,0.54419,0.42802,0.91787,1.18964,1.07343,0.0003862,0.0003862,0.0003862
64,3020.17,0.70306,0.64613,0.98847,0.58883,0.5237,0.53478,0.42506,0.90419,1.18247,1.09024,0.0003763,0.0003763,0.0003763
65,3065.6,0.75041,0.67017,1.02655,0.75041,0.51041,0.57092,0.45014,0.87521,1.04875,1.07062,0.0003664,0.0003664,0.0003664
66,3111.56,0.70248,0.62399,0.9991,0.71577,0.58004,0.64444,0.52053,0.87407,1.08599,1.05921,0.0003565,0.0003565,0.0003565
67,3156.79,0.71839,0.65307,1.00195,0.85551,0.57982,0.6355,0.50889,0.83469,0.97164,1.04221,0.0003466,0.0003466,0.0003466
68,3203.43,0.70419,0.62957,1.00338,0.76523,0.59804,0.65718,0.52917,0.8351,0.93631,1.04434,0.0003367,0.0003367,0.0003367
69,3251.5,0.68474,0.61022,1.0033,0.75524,0.61077,0.6562,0.54287,0.88764,1.04837,1.05033,0.0003268,0.0003268,0.0003268
70,3298.72,0.70532,0.58895,1.0058,0.736,0.60206,0.6752,0.55636,0.87056,0.94537,1.05744,0.0003169,0.0003169,0.0003169
71,3345.16,0.68803,0.61532,0.99936,0.79463,0.57717,0.67219,0.5391,0.88495,1.02463,1.04321,0.000307,0.000307,0.000307
72,3390.55,0.73001,0.61666,1.02287,0.74056,0.61595,0.66014,0.53052,0.84068,0.94195,1.0413,0.0002971,0.0002971,0.0002971
73,3438,0.65567,0.56741,0.98291,0.70882,0.5997,0.65155,0.52475,0.86486,1.02297,1.05054,0.0002872,0.0002872,0.0002872
74,3484.38,0.66381,0.5964,0.99296,0.71951,0.59825,0.63804,0.52454,0.90041,0.99671,1.06084,0.0002773,0.0002773,0.0002773
75,3530.01,0.69581,0.59977,0.98732,0.79448,0.58402,0.65933,0.5437,0.86371,1.02142,1.05005,0.0002674,0.0002674,0.0002674
76,3575.2,0.69022,0.595,0.98625,0.73511,0.62642,0.65072,0.53535,0.84861,0.99754,1.04079,0.0002575,0.0002575,0.0002575
