Metric,Value
mAP IoU=0.5:0.95,0.5173944785392832
mAP IoU=0.5,0.6571530814612383
mAP IoU=0.75,0.5658322482258659
mAP small,0.0
mAP medium,0.16375963683324846
mAP large,0.536386998352925
AR max=1,0.6126770884220811
AR max=10,0.6978016609672693
AR max=100,0.707352222765022
AR small,0.0
AR medium,0.36666666666666664
AR large,0.7231442205726406
F1@IoU=0.5,0.7058818508269527
