Metric,Value
mAP IoU=0.5:0.95,0.5380000871979863
mAP IoU=0.5,0.6913002382484971
mAP IoU=0.75,0.5943852923554508
mAP small,0.0
mAP medium,0.1503694119411941
mAP large,0.5565743621770083
AR max=1,0.634294088910601
AR max=10,0.7098680996580363
AR max=100,0.717733268197362
AR small,0.0
AR medium,0.39999999999999997
AR large,0.7324496288441145
F1@IoU=0.5,0.21581175467092548
