epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2664.32,0.23804,0.34807,0.12239,0.70368,0.63015,0.62802,0.52189,0.29223,0.76715,0.12813,0.0005941,0.0005941,0.0005941
43,2725.87,0.21335,0.35045,0.106,0.82676,0.65955,0.70694,0.56942,0.30188,0.63135,0.13366,0.0005842,0.0005842,0.0005842
44,2783.84,0.22817,0.37149,0.1207,0.88969,0.70042,0.76305,0.62827,0.2961,0.5592,0.13424,0.0005743,0.0005743,0.0005743
45,2849.91,0.23186,0.35881,0.10423,0.73676,0.62128,0.65756,0.54373,0.29969,0.68648,0.1459,0.0005644,0.0005644,0.0005644
46,2909.48,0.22681,0.35341,0.10101,0.83437,0.57342,0.59349,0.48972,0.29809,0.8044,0.1317,0.0005545,0.0005545,0.0005545
47,2968.8,0.22876,0.34671,0.1041,0.84586,0.58977,0.59684,0.50154,0.29338,0.74193,0.14448,0.0005446,0.0005446,0.0005446
48,3028.91,0.21827,0.34995,0.10086,0.72029,0.61856,0.61217,0.52601,0.30156,0.63681,0.13419,0.0005347,0.0005347,0.0005347
49,3088.68,0.21549,0.35128,0.10495,0.79272,0.63963,0.64212,0.52832,0.29174,0.71978,0.13193,0.0005248,0.0005248,0.0005248
50,3149.05,0.21895,0.33655,0.10616,0.80464,0.64422,0.66357,0.56095,0.28193,0.63043,0.13308,0.0005149,0.0005149,0.0005149
51,3209.65,0.22223,0.35158,0.09765,0.80405,0.60833,0.68212,0.56841,0.27375,0.65297,0.11859,0.000505,0.000505,0.000505
52,3275.02,0.22377,0.34416,0.10081,0.85364,0.68092,0.68835,0.57155,0.3064,0.61566,0.14799,0.0004951,0.0004951,0.0004951
53,3339.4,0.22439,0.34864,0.11331,0.86928,0.60621,0.64055,0.52022,0.29727,0.82012,0.15353,0.0004852,0.0004852,0.0004852
54,3399.35,0.22243,0.37136,0.09438,0.77909,0.64025,0.64121,0.52639,0.28758,0.78096,0.12534,0.0004753,0.0004753,0.0004753
55,3460.47,0.23174,0.34187,0.1042,0.82674,0.65048,0.65718,0.54471,0.29105,0.75223,0.12176,0.0004654,0.0004654,0.0004654
56,3521.41,0.22072,0.33252,0.10767,0.78201,0.61864,0.61073,0.50379,0.31719,0.9468,0.13632,0.0004555,0.0004555,0.0004555
57,3583.13,0.21097,0.33072,0.10649,0.89206,0.55499,0.6367,0.52613,0.30244,0.87083,0.12797,0.0004456,0.0004456,0.0004456
58,3643.59,0.19553,0.33599,0.09834,0.75124,0.66658,0.63442,0.51471,0.28582,0.8008,0.14401,0.0004357,0.0004357,0.0004357
59,3704.05,0.20266,0.31355,0.10247,0.69398,0.66026,0.60952,0.50034,0.31038,0.79579,0.15772,0.0004258,0.0004258,0.0004258
60,3763.3,0.19823,0.32032,0.09984,0.85442,0.6195,0.63651,0.52509,0.28891,0.84192,0.12966,0.0004159,0.0004159,0.0004159
