epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1472.07,0.63135,0.43617,0.94627,0.84362,0.79365,0.86666,0.71144,0.77548,0.60674,0.95852,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,1519.23,0.61475,0.42942,0.94996,0.86014,0.8017,0.85069,0.69563,0.77267,0.59169,0.9603,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,1566.03,0.60137,0.43109,0.94478,0.85444,0.82324,0.85067,0.68682,0.76978,0.62532,0.95857,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,1613.67,0.62389,0.43176,0.95262,0.81124,0.86153,0.88155,0.71754,0.76856,0.57125,0.96801,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,1660.16,0.59472,0.42585,0.94392,0.87658,0.83578,0.89954,0.72242,0.78907,0.53436,0.97723,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,1708.17,0.60193,0.43349,0.93482,0.90009,0.85317,0.90284,0.7044,0.77171,0.54869,0.99763,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,1756.58,0.58691,0.39697,0.93341,0.87326,0.8668,0.90643,0.72094,0.75427,0.54389,0.97702,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,1801.65,0.59392,0.42193,0.93897,0.86789,0.86111,0.89371,0.71681,0.74818,0.55473,0.98147,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,1849.38,0.58717,0.4124,0.93654,0.8366,0.82143,0.89504,0.70608,0.77158,0.58287,0.99011,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,1898.9,0.57307,0.40816,0.93929,0.85131,0.8373,0.8825,0.71173,0.77427,0.57169,0.98792,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
