epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1915.26,0.9487,0.93154,1.08224,0.85694,0.54394,0.5967,0.47098,1.13506,1.32029,1.17518,0.000600705,0.000600705,0.000600705
43,1958.95,0.96222,0.91007,1.09873,0.76785,0.63109,0.66641,0.52499,1.14641,1.23561,1.15817,0.000590966,0.000590966,0.000590966
44,2004.78,0.96264,0.86889,1.07897,0.84624,0.51789,0.62193,0.49849,1.20334,1.25804,1.16748,0.000581227,0.000581227,0.000581227
45,2048.44,0.94287,0.8605,1.08955,0.7598,0.65641,0.68932,0.5467,1.11725,1.12979,1.13832,0.000571488,0.000571488,0.000571488
46,2093.39,0.9305,0.81956,1.08094,0.82675,0.63367,0.69571,0.55833,1.08941,1.14055,1.16507,0.00056175,0.00056175,0.00056175
47,2138.65,0.89287,0.87932,1.05102,0.76273,0.65991,0.7205,0.58669,1.01114,1.08596,1.10324,0.000552011,0.000552011,0.000552011
48,2184.38,0.95677,0.90466,1.10427,0.76265,0.62477,0.67718,0.52285,1.08413,1.23095,1.13932,0.000542272,0.000542272,0.000542272
49,2229.72,0.8794,0.83614,1.05093,0.75357,0.61157,0.67981,0.52385,1.12255,1.23695,1.13968,0.000532533,0.000532533,0.000532533
50,2272.96,0.94636,0.82884,1.08129,0.79772,0.60505,0.69022,0.53891,1.13295,1.23249,1.13104,0.000522794,0.000522794,0.000522794
51,2318.37,0.90173,0.83186,1.07978,0.82923,0.62774,0.67689,0.54705,1.11137,1.25977,1.1396,0.000513055,0.000513055,0.000513055
52,2363.97,0.90558,0.8433,1.08981,0.69491,0.58543,0.61742,0.48633,1.07387,1.36054,1.12144,0.000503316,0.000503316,0.000503316
53,2409.72,0.88242,0.81789,1.05214,0.78086,0.62415,0.65996,0.53161,1.0613,1.19267,1.13047,0.000493577,0.000493577,0.000493577
54,2453.03,0.89393,0.7905,1.06486,0.85855,0.66446,0.68171,0.54739,1.07652,1.17908,1.12661,0.000483838,0.000483838,0.000483838
55,2499.19,0.91666,0.79252,1.09248,0.82895,0.62132,0.67996,0.53813,1.077,1.24838,1.1115,0.000474099,0.000474099,0.000474099
56,2542.02,0.86858,0.78431,1.069,0.86797,0.51358,0.61835,0.50104,1.07946,1.24824,1.12331,0.000464361,0.000464361,0.000464361
