Metric,Value
mAP IoU=0.5:0.95,0.4276900941201002
mAP IoU=0.5,0.6463018360349698
mAP IoU=0.75,0.5291487566836647
mAP small,0.0
mAP medium,0.17499999999999996
mAP large,0.4472394777828405
AR max=1,0.5041739596739597
AR max=10,0.5397441012441012
AR max=100,0.5397441012441012
AR small,0.0
AR medium,0.175
AR large,0.5665110734675951
F1@IoU=0.5,0.6738
