Metric,Value
mAP IoU=0.5:0.95,0.40650910653518674
mAP IoU=0.5,0.6202021886552874
mAP IoU=0.75,0.4836418982359442
mAP small,0.0
mAP medium,0.17499999999999996
mAP large,0.42591433651868027
AR max=1,0.5050424710424709
AR max=10,0.5179118404118405
AR max=100,0.5179118404118405
AR small,0.0
AR medium,0.175
AR large,0.5426088350726032
F1@IoU=0.5,0.6738
