epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,56.4314,0.98281,5.06282,1.24612,0.15973,0.30509,0.16366,0.13393,0.84938,3.80479,1.1368,0.000983871,0.000327957,0.000983871,0.000327957,0.000983871,0.000327957,0.000983871,0.000327957
2,120.653,0.87776,2.71524,1.16891,0.61391,0.33283,0.39457,0.32506,0.77517,2.06421,1.05626,0.00196423,0.000654744,0.00196423,0.000654744,0.00196423,0.000654744,0.00196423,0.000654744
3,182.282,0.80936,1.90858,1.09322,0.60574,0.49284,0.50172,0.41053,0.70964,1.48194,1.01758,0.00292479,0.00097493,0.00292479,0.00097493,0.00292479,0.00097493,0.00292479,0.00097493
4,243.29,0.77036,1.45864,1.05333,0.78237,0.59327,0.63336,0.51427,0.74316,1.12518,1.00026,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,311.019,0.79576,1.21171,1.05639,0.75387,0.5806,0.64962,0.53285,0.7555,1.10889,1.02445,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,371.109,0.77526,1.08035,1.02805,0.52407,0.64859,0.58748,0.48593,0.74253,1.01533,1.02172,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,425.13,0.78267,0.95549,1.04947,0.64367,0.50196,0.56618,0.45894,0.77213,1.02178,1.01107,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,481.404,0.75442,0.84863,1.01424,0.6076,0.51082,0.574,0.46108,0.78674,0.99935,1.00351,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,536.772,0.74088,0.81195,0.9932,0.69461,0.47079,0.6014,0.46922,0.76381,0.93847,0.99567,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,588.8,0.69193,0.73566,0.97255,0.75059,0.55047,0.63478,0.51593,0.75744,0.84408,1.01961,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,645.75,0.6947,0.68456,0.98352,0.76559,0.56848,0.65865,0.53565,0.75333,0.86376,1.00863,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,708.578,0.73614,0.683,1.00025,0.61756,0.5921,0.61346,0.49108,0.72879,0.89708,0.99117,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
